地区,primary_2020,middle_2020,high_2020,primary_2024,middle_2024,high_2024,primary_2025,middle_2025,high_2025,primary_2026,middle_2026,high_2026,primary_2027,middle_2027,high_2027,primary_chg_2024,primary_chg_2025,primary_chg_2026,primary_chg_2027,middle_chg_2024,middle_chg_2025,middle_chg_2026,middle_chg_2027,high_chg_2024,high_chg_2025,high_chg_2026,high_chg_2027
东城区,40950.6,14060.0,9861.6,45879.2,19036.6,16159.2,44027.4,21914.0,16159.2,42175.6,24791.4,16159.2,38302.8,24791.4,19036.6,12.04,7.51,2.99,-6.47,35.4,55.86,76.33,76.33,63.86,63.86,63.86,93.04
西城区,66162.6,22621.2,15558.0,73679.9,30771.8,26152.8,70510.05,35390.8,26152.8,67340.2,40009.8,26152.8,60977.6,40009.8,30771.8,11.36,6.57,1.78,-7.84,36.03,56.45,76.87,76.87,68.1,68.1,68.1,97.79
朝阳区,146664.6,54622.4,47132.4,181288.6,68344.0,58367.4,183635.7,78320.6,58367.4,185982.8,88297.2,58367.4,180183.4,88297.2,68344.0,23.61,25.21,26.81,22.85,25.12,43.39,61.65,61.65,23.84,23.84,23.84,45.0
丰台区,78819.6,30529.0,25421.4,98221.4,37300.8,33082.8,101595.3,41518.8,33082.8,104969.2,45736.8,33082.8,103559.6,45736.8,37300.8,24.62,28.9,33.18,31.39,22.18,36.0,49.81,49.81,30.14,30.14,30.14,46.73
石景山区,23596.2,9791.0,9546.6,28819.0,11169.8,9913.2,29545.5,12426.4,9913.2,30272.0,13683.0,9913.2,29743.0,13683.0,11169.8,22.13,25.21,28.29,26.05,14.08,26.92,39.75,39.75,3.84,3.84,3.84,17.0
海淀区,147153.0,69311.6,81244.8,165432.0,70166.0,63345.0,164340.0,76987.0,63345.0,163248.0,83808.0,63345.0,153792.0,83808.0,70166.0,12.42,11.68,10.94,4.51,1.23,11.07,20.91,20.91,-22.03,-22.03,-22.03,-13.64
门头沟区,15532.8,6182.8,5228.4,19748.4,7397.6,6660.0,20749.8,8135.2,6660.0,21751.2,8872.8,6660.0,21829.6,8872.8,7397.6,27.14,33.59,40.03,40.54,19.65,31.58,43.51,43.51,27.38,27.38,27.38,41.49
房山区,58669.2,24203.0,25683.0,77370.6,27377.4,23463.0,80849.7,31291.8,23463.0,84328.8,35206.2,23463.0,83170.4,35206.2,27377.4,31.88,37.81,43.74,41.76,13.12,29.29,45.46,45.46,-8.64,-8.64,-8.64,6.6
通州区,77984.4,29959.4,28647.0,103018.4,36200.0,30615.6,107158.8,41784.4,30615.6,111299.2,47368.8,30615.6,108541.6,47368.8,36200.0,32.1,37.41,42.72,39.18,20.83,39.47,58.11,58.11,6.87,6.87,6.87,26.37
顺义区,53367.0,20485.8,18988.2,71013.2,24867.2,21234.6,74387.4,28499.8,21234.6,77761.6,32132.4,21234.6,77083.8,32132.4,24867.2,33.07,39.39,45.71,44.44,21.39,39.12,56.85,56.85,11.83,11.83,11.83,30.96
